Model,MSO2024
Firmware Version,1.39

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.2
Label,,
TIME,CH1,CH2
-4.96789e-05,0.008,-0.00799999
-4.96779e-05,0.008,7.62939e-09
-4.96769e-05,0.008,-0.00799999
-4.96759e-05,0.008,7.62939e-09
-4.96749e-05,0.008,-0.00799999
-4.96739e-05,0.008,7.62939e-09
-4.96729e-05,0.008,-0.00799999
-4.96719e-05,0.008,7.62939e-09
-4.96709e-05,0.008,-0.00799999
-4.96699e-05,0.008,7.62939e-09
-4.96689e-05,0.008,-0.00799999
-4.96679e-05,0.008,-0.00799999
-4.96669e-05,0.008,-0.00799999
-4.96659e-05,0.008,7.62939e-09
-4.96649e-05,0.008,-0.00799999
-4.96639e-05,0.008,7.62939e-09
-4.96629e-05,0.008,7.62939e-09
-4.96619e-05,0.008,7.62939e-09
-4.96609e-05,0.008,-0.00799999
-4.96599e-05,0.008,7.62939e-09
-4.96589e-05,0.008,-0.00799999
-4.96579e-05,0.008,7.62939e-09
-4.96569e-05,0.008,-0.00799999
-4.96559e-05,0.008,7.62939e-09
-4.96549e-05,0.008,-0.00799999
-4.96539e-05,0.008,7.62939e-09
-4.96529e-05,0.008,-0.00799999
-4.96519e-05,0.008,7.62939e-09
-4.96509e-05,0.008,-0.00799999
-4.96499e-05,0.008,7.62939e-09
-4.96489e-05,0.008,-0.00799999
-4.96479e-05,0.008,7.62939e-09
-4.96469e-05,0.008,-0.00799999
-4.96459e-05,0.008,7.62939e-09
-4.96449e-05,0.008,-0.00799999
-4.96439e-05,0.008,7.62939e-09
-4.96429e-05,0.008,-0.00799999
-4.96419e-05,0.008,7.62939e-09
-4.96409e-05,0.008,-0.00799999
-4.96399e-05,0.008,7.62939e-09
-4.96389e-05,0.008,-0.00799999
-4.96379e-05,0.008,7.62939e-09
-4.96369e-05,0.008,-0.00799999
